#,"What is your age?","What is your gender?","What operating system do you use?","Please rate your computing skills on a scale from 1 (beginner) to 10 (expert)","Do you consider your computing skills to be","What is your field of study",Other,"Do you have R and RStudio installed on your computer?","Start Date (UTC)","Submit Date (UTC)","Network ID"
1e097e4a3e049b81a288f9432dcfe1c9,25,Male,Windows,6,Average,Economics,,Yes,"2016-08-08 08:31:24","2016-08-08 08:32:13",4780b46b88
a63d4254b6f9c54de091b0e6f28534b9,24,Female,Windows,4,"Below class average",,Nurse,Yes,"2016-08-08 08:31:06","2016-08-08 08:32:17",49d0dbc2f3
b22c2deba3736917c465d898133d15b1,21,Male,Windows,6,Average,,Math,Yes,"2016-08-08 08:31:14","2016-08-08 08:32:23",49d0dbc2f3
53c4e9ec7a900b3888d5b1da08f3d648,28,Male,Windows,7,"Above class average",Economics,,Yes,"2016-08-08 08:31:27","2016-08-08 08:32:27",49d0dbc2f3
3348e78e8bb5d9a2d1459845cd84d1d0,25,Male,Windows,7,Average,Economics,,"No, haven't tried yet","2016-08-08 08:31:40","2016-08-08 08:32:27",49d0dbc2f3
519417a382dc5fc346ff3949646c56fe,23,Male,Windows,5,"Below class average",Sociology,,Yes,"2016-08-08 08:31:36","2016-08-08 08:32:34",3eba7aac96
120902e3f60a143de184ad9f77b3f250,25,Male,Windows,6,Average,,"Global Development (a bit of everything above)",Yes,"2016-08-08 08:30:59","2016-08-08 08:32:37",49d0dbc2f3
49e44e469d55c9fab97ca97d89fcdd51,27,Male,"Mac OS X",6,Average,"Political Science",,Yes,"2016-08-08 08:31:59","2016-08-08 08:32:43",49d0dbc2f3
c2f73e5e74fac65d62d92963b7e7fb7c,27,Male,Windows,9,"Above class average",Economics,,Yes,"2016-08-08 08:32:01","2016-08-08 08:32:43",75cdee8217
8087f58e85c951f746f4dafa59ba8fa2,21,Male,"Mac OS X",7,"Above class average",,Engineering,Yes,"2016-08-08 08:30:16","2016-08-08 08:32:48",49d0dbc2f3
92e147f1725e572b706f0dad9476540b,23,Female,"Mac OS X",6,"Below class average",,math-economic,Yes,"2016-08-08 08:31:12","2016-08-08 08:33:05",49d0dbc2f3
6b2fab59fa6cd2ac6750a3f9a9ea58b0,26,Male,Windows,7,Average,Economics,,Yes,"2016-08-08 08:32:47","2016-08-08 08:33:20",49d0dbc2f3
9f7b9f5d9c2f8b643833f5da37758836,32,Female,Windows,2,"Below class average","Political Science",,Yes,"2016-08-08 08:33:22","2016-08-08 08:34:05",810355f30b
06ac2dcb98795790668a96dda1b7b339,21,Female,Windows,5,Average,,Math-economic,Yes,"2016-08-08 08:33:41","2016-08-08 08:34:38",43194d35c3
